ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
483356171,Audio,Black-capped Chickadee,Poecile atricapillus,,Rarin Rugrachagarn,2022-09-11,2022,9,11,1005,Canada,CA-QC-MR,Quebec,Montréal,Parc Kelso,45.4024473,-73.9462163,"",,Unspecified,"","",,,,,,,S118517351,"",,,,"Didn't see but heard the callings of 2 individuals",Poecile atricapillus,bkcchi,Species,21841,,1.00,1,,,
483327161,Audio,Black-capped Chickadee,Poecile atricapillus,,Isabelle Reddy,2022-09-11,2022,9,11,1558,Canada,CA-QC-MW,Quebec,Matawinie,"Sainte-Émélie de l’Énergie, Québec",46.3217540,-73.6390820,"",,Unspecified,"","",,,,,,,S118530688,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
483280821,Audio,Black-capped Chickadee,Poecile atricapillus,Vireo gilvus -- Warbling Vireo,Luis Mendes,2022-09-11,2022,9,11,1040,United States,US-RI-001,Rhode Island,Bristol,Colt State Park,41.6806368,-71.3021922,"","Call; Song",Not Used,"","",,,Canon PowerShot S3 IS camera,,,,S118525530,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
483280741,Audio,Black-capped Chickadee,Poecile atricapillus,Dumetella carolinensis -- Gray Catbird,Luis Mendes,2022-09-11,2022,9,11,1040,United States,US-RI-001,Rhode Island,Bristol,Colt State Park,41.6806368,-71.3021922,"",Song,Not Used,"","",,,Canon PowerShot S3 IS camera,,,,S118525530,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
483257321,Audio,Black-capped Chickadee,Poecile atricapillus,,Gregg Friesen,2022-09-11,2022,9,11,729,United States,US-KS-079,Kansas,Harvey,Harvey Co. West Park,38.0773902,-97.5816098,"",,Unspecified,"","",,,,,,,S118502216,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
483250961,Audio,Black-capped Chickadee,Poecile atricapillus,"Setophaga petechia -- Yellow Warbler; Piranga ludoviciana -- Western Tanager",John Neill,2022-05-13,2022,5,13,709,United States,US-UT-035,Utah,Salt Lake,Salt Lake City Cemetery,40.7772188,-111.8596427,"","",Not Used,"","",,,Voice Record Pro iPhone 6s,,,,S109958315,"",,,,Heard only,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,"",,
483038191,Audio,Black-capped Chickadee,Poecile atricapillus,Contopus virens -- Eastern Wood-Pewee,joe demko,2022-09-10,2022,9,10,726,United States,US-NY-113,New York,Warren,"Battle Hill Rd, Hague US-NY 43.72158, -73.52659",43.7215800,-73.5265910,Unknown – 3,"Call; Foraging or Eating",Not Used,"","",,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone ,,,S118475386,"",,,call series with minimal background noise and one other species in the distance ,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
483019531,Audio,Black-capped Chickadee,Poecile atricapillus,,Kathleen Oliver,2022-09-10,2022,9,10,830,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Trout Lake (John Hendry Park),49.2559580,-123.0623250,"",,Unspecified,"","",,,,,,,S118445063,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,2.00,1,,,
482851581,Audio,Black-capped Chickadee,Poecile atricapillus,"Corvus brachyrhynchos -- American Crow; Anas platyrhynchos -- Mallard; Certhia americana -- Brown Creeper; Cardellina pusilla -- Wilson's Warbler; Larus glaucescens -- Glaucous-winged Gull",Neill Vanhinsberg,2021-05-21,2021,5,21,534,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Vancouver--Queen Elizabeth Park,49.2419437,-123.1122059,Adult – 1,Call,Not Used,"","",,,Samsung Galaxy S9 with RecForge2,,,,S88748516,"",,,You can hear MALLs landing in nearby pond.,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,"",,
482810291,Audio,Black-capped Chickadee,Poecile atricapillus,,Isabelle Reddy,2022-09-09,2022,9,9,1538,Canada,CA-QC-MW,Quebec,Matawinie,"Sainte-Émélie de l’Énergie, Québec",46.3217540,-73.6390820,"",,Unspecified,"","",,,,,,,S118398199,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,4.00,1,,,
482810031,Audio,Black-capped Chickadee,Poecile atricapillus,,Isabelle Reddy,2022-09-08,2022,9,8,1427,Canada,CA-QC-MW,Quebec,Matawinie,"Sainte-Émélie de l’Énergie, Québec",46.3217540,-73.6390820,"",,Unspecified,"","",,,,,,,S118345262,"",,,,,Poecile atricapillus,bkcchi,Species,21841,,3.00,1,,,
