ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
628849927,Audio,Northern Cardinal,Cardinalis cardinalis,,Lance Tanino,2025-01-09,2025,1,9,1417,United States,US-HI-001,Hawaii,Hawaii,"HI: Ouli Gulch (2161' el.) / Lanikepu Valley / Kamuela View Estates",20.0266318,-155.7182075,"",,Unspecified,"","",,,,,,,S208661349,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628843129,Audio,Northern Cardinal,Cardinalis cardinalis,"Cyanocitta cristata -- Blue Jay; Melanerpes carolinus -- Red-bellied Woodpecker; Zonotrichia albicollis -- White-throated Sparrow; Dryobates pubescens -- Downy Woodpecker",Peyton Stone,2025-01-09,2025,1,9,925,United States,US-VA-059,Virginia,Fairfax,"MVPA Woods, Alexandria US-VA",38.7383900,-77.0597552,"Adult Male – 1; Unknown – 1","Call; Song",Not Used,"","",,,iPhone,,,,S208607946,"",,,"Male singing from a bush. Another cardinal calling in the background, along with Blue Jay, Red-bellied Woodpecker, White-throated Sparrow, and Downy Woodpecker.",,Cardinalis cardinalis,norcar,Species,34224,,2.50,2,"",,
628824222,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-09,2025,1,9,855,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,Zoom H5 Handy Recorder,Wildtronics Pro Mono,22 inch parabolic reflector,,S208640533,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,1.00,1,,,
628779249,Audio,Northern Cardinal (Common),Cardinalis cardinalis [cardinalis Group],,Dunedin Hammock Park Monitoring Station,2025-01-06,2025,1,6,700,United States,US-FL-103,Florida,Pinellas,Dunedin Hammock City Park,28.0324000,-82.7810000,"","Call; Dawn Song; Song",Unspecified,"","",,,Birdweather PUC,,,,S208274590,"",,,,LLS 49 DLS,Cardinalis cardinalis,norcar1,Group,34225,,5.00,2,"",,
628777058,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-08,2025,1,8,805,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,Zoom H5 Handy Recorder,Behringer B-2 Pro,Omnidirectional Large Dual-Diaphragm,,S208528292,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,3.00,1,,,
628705282,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Gong,2025-01-06,2025,1,6,1606,United States,US-PA-017,Pennsylvania,Bucks,George School (Langhorne NE),40.2121832,-74.9352085,"",,Unspecified,"","",,,,,,,S208318294,"",,,,many at feeder,Cardinalis cardinalis,norcar,Species,34224,,4.50,2,,,
628682378,Audio,Northern Cardinal,Cardinalis cardinalis,Melospiza georgiana -- Swamp Sparrow,Katrina Theisen,2024-07-24,2024,7,24,1049,United States,US-MN-003,Minnesota,Anoka,Pioneer Park (Anoka Co.),45.1974373,-93.2057945,"",Call,Unspecified,"","",,,iPhone 12 mini,,,,S188590624,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,3.00,1,"",,
628682227,Audio,Northern Cardinal,Cardinalis cardinalis,,Katrina Theisen,2024-08-08,2024,8,8,1647,United States,US-MN-163,Minnesota,Washington,Oakdale Nature Preserve,45.0097196,-92.9698706,"",Call,Unspecified,"","",,,iPhone 12 mini,,,,S190709932,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,3.00,1,"",,
628665956,Audio,Northern Cardinal,Cardinalis cardinalis,,Steve Thorpe,2025-01-06,2025,1,6,910,Canada,CA-ON-PT,Ontario,Perth,Stratford--Devon Street West Parkland,43.3758617,-80.9517932,"",,Unspecified,"","",,,,,,,S208281936,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,4.00,2,,,
628665519,Audio,Northern Cardinal,Cardinalis cardinalis,,Nathan Pieplow,2025-01-01,2025,1,1,721,United States,US-TX-181,Texas,Grayson,Hagerman NWR--Harris Creek trail,33.7363318,-96.7513132,"",,Unspecified,"","",,,,,,,S207452706,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,1.00,1,,,
628642518,Audio,Northern Cardinal,Cardinalis cardinalis,,Rob Porter,2025-01-01,2025,1,1,1053,Canada,CA-ON-HA,Ontario,Hamilton,Hamilton--Concession Woods,43.2443274,-79.8573017,"",,Unspecified,"","",,,,,,,S207472441,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,2.00,1,,,
628624902,Audio,Northern Cardinal,Cardinalis cardinalis,,Marie Giroux,2025-01-05,2025,1,5,747,Canada,CA-QC-QU,Quebec,Québec,Sentier des élections,46.7785802,-71.3398504,Adult Male – 1,Call,Unspecified,"","",,,,,,,S208210432,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,3.50,2,"",,
628605157,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-05,2025,1,5,900,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,"Tascam DR-05X, 1536 kbps",Behringer B-2 Pro,Omnidirectional Large Dual-Diaphragm,,S208160045,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628600384,Audio,Northern Cardinal (Common),Cardinalis cardinalis [cardinalis Group],,Shalev Weber,2025-01-05,2025,1,5,718,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,"",,Unspecified,"","",,,,,,,S208140063,"",,,,,Cardinalis cardinalis,norcar1,Group,34225,,.00,0,,,
628569356,Audio,Northern Cardinal,Cardinalis cardinalis,,Marilyn Baggett,2025-01-04,2025,1,4,1056,United States,US-AL-101,Alabama,Montgomery,"Jannett's Yard, Montgomery",32.3336509,-86.1702827,"",,Unspecified,"","",,,,,,,S208038733,"",,,,Visual and Audio,Cardinalis cardinalis,norcar,Species,34224,,4.00,1,,,
628566035,Audio,Northern Cardinal,Cardinalis cardinalis,"Corvus ossifragus -- Fish Crow; Thryothorus ludovicianus -- Carolina Wren; Melanerpes carolinus -- Red-bellied Woodpecker",Rex Rowan,2025-01-04,2025,1,4,1037,United States,US-FL-001,Florida,Alachua,Micanopy Native American Heritage Preserve,29.5022542,-82.2683716,Male – 2,Song,Not Used,"","",,,Tascam DR-40X,,,,S207974462,"",,,"Some songs given at normal volume, others much quieter, as if it were talking to itself. Frank noticed that its bill didn't open at these times, but that its throat moved. It remained motionless on the same perch throughout the performance.",Both singing.,Cardinalis cardinalis,norcar,Species,34224,,.00,0,"",,
628564139,Audio,Northern Cardinal,Cardinalis cardinalis,,David de Rivera Tønnessen,2025-01-02,2025,1,2,715,Mexico,MX-OAX-017,Oaxaca,Pochutla,PN Huatulco--Sendero Sicaruu/Laguna el Zanate,15.7319036,-96.1597252,"",,Unspecified,"","",,,,,,,S207671606,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628540579,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-04,2025,1,4,825,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,"Tascam DR-05X, 1536 kbps",Wildtronics Pro Mono,22 inch parabolic reflector,,S208001042,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628533835,Audio,Northern Cardinal,Cardinalis cardinalis,,John M Campbell,2025-01-04,2025,1,4,842,United States,US-PA-043,Pennsylvania,Dauphin,Wildwood Lake Park,40.3141147,-76.8851503,"",,Unspecified,"","",,,,,,,S207955816,"",,,,In duel with White-throated sparrow.,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628533592,Audio,Northern Cardinal,Cardinalis cardinalis,,John M Campbell,2025-01-04,2025,1,4,747,United States,US-PA-041,Pennsylvania,Cumberland,West Fairview Park/Boat Launch (Cumberland Co.),40.2721182,-76.9139314,"",,Unspecified,"","",,,,,,,S207944082,"",,,,"At least two Carolina wrens singing, joined by N cardinal.",Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628499220,Audio,Northern Cardinal,Cardinalis cardinalis,,Kassia Delgado,2025-01-03,2025,1,3,1340,United States,US-NY-029,New York,Erie,Tifft Nature Preserve,42.8462509,-78.8594553,"",,Unspecified,"","",,,,,,,S207890172,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,1,,,
628486412,Audio,Northern Cardinal,Cardinalis cardinalis,,Kevin Smith,2025-01-03,2025,1,3,830,United States,US-TX-201,Texas,Harris,""" Oceania Ct",29.7603277,-95.7094413,"",,Unspecified,"","",,,"Tascam DR-05X, 1536 kbps",Behringer B-2 Pro,Omnidirectional Large Dual-Diaphragm,,S207865916,"",,,,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628481848,Audio,Northern Cardinal,Cardinalis cardinalis,,Veronica Frankeny,2025-01-03,2025,1,3,1040,United States,US-TX-339,Texas,Montgomery,Frankeny Manor,30.4273710,-95.5065150,"",,Unspecified,"","",,,,,,,S207842951,"",,,All birds are in this one recording for review. ,,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
628478179,Audio,Northern Cardinal,Cardinalis cardinalis,,Rhonda Langelaan,2025-01-03,2025,1,3,1015,Canada,CA-NB-WE,New Brunswick,Westmorland,"O'Neal road, Second North River",46.0559873,-65.1707332,"",,Unspecified,"","",,,,,,,S207818031,"",,,,Heard it chipping.,Cardinalis cardinalis,norcar,Species,34224,,.00,0,,,
